"Год выборов","Заголовок","Кандидат-депутат","Возраст","Год рождения","Профессия(основное)","Вторая профессия","Третья профессия","Пол","Населённый пункт","Должность","Партийный/беспартийный","Партия","Избирательный округ","Описание целиком"
"2004","Ванина Татьяна Владимировна","Кандидат","44","1960","инженер","","","ж","Дзержинск","временно не работает","Беспартийный","","Дзержинский № 80",""
"2004","Буякевич Сергей Аркадьевич","Кандидат","35","1969","юрист","","","м","Минск","адвокат специализированной юридической консультации № 2 Минской городской коллегии адвокатов","Беспартийный","","Любанский № 83",""
"2004","Булавкин Александр Иванович","Кандидат","40","1964","техник связи","","","м","Грибино","временно не работает","Партийный","ОГП","Шкловский № 75",""
"2004","Букас Анатолий Владимирович","Кандидат","48","1956","журналист","","","м","Борисов","индивидуальный предприниматель","Партийный","БСДП","Борисовский городской № 77",""
"2004","Брусляков Михаил Васильевич","Кандидат","56","1948","техник-строитель","","","м","Витебск","ведущий специалист ОАО ""Витебский облагросервис""","Партийный","ЛДП","Витебский-Железнодорожный № 18",""
"2004","Брич Василий Алексеевич","Кандидат","50","1954","ученый агроном","","","м","Логишин","начальник участка УП ""Пинское ПМС""","Партийный","ПКБ","Пинский сельский № 15",""
"2004","Борщев Владимир Николаевич","Кандидат","48","1956","военнослужащий","","","м","Минск","глава представительства ОАО ""Промышленная группа ""ЛанРусинвест"" Российской Федерации в Республике Беларусь","Беспартийный","","Ивьевский № 55",""
"2004","Борозна Олег Валерьевич","Кандидат","26","1978","техник-технолог","","","м","Витебск","индивидуальный предприниматель ТД ""Ольга"", Полоцкий рынок","Беспартийный","","Витебский-Чкаловский № 20",""
"2004","Боричевская Дина Александровна","Кандидат","33","1971","артист","","","ж","Барань","аккомпаниатор СШ № 18 Орши","Беспартийный","","Оршанский-Днепровский № 27",""
"2004","Борисюк Анатолий Иванович","Кандидат","38","1966","юрист","","","м","Брест","преподаватель истории и социально-политических дисциплин, юрисконсульт частного унитарного предприятия по оказанию услуг ""Татьяна и К""","Беспартийный","","Брестский-Центральный № 2",""
"2004","Бондаренко Зинаида Александровна","Кандидат","65","1939","филолог","","","ж","Минск","пенсионерка","Партийный","ОГП","Сморгонский № 61",""
"2004","Богослов Геннадий Иванович","Кандидат","48","1956","учитель","","","м","Витебск","преподаватель общественных дисциплин УО ""Витебский государственный политехнический техникум""","Беспартийный","","Витебский-Чкаловский № 20",""
"2004","Богданкевич Станислав Антонович","Кандидат","67","1937","экономист","","","м","Минск","пенсионер","Партийный","ОГП","Чкаловский № 98",""
"2004","Блинковский Аркадий Александрович","Кандидат","63","1941","горный инженер","","","м","Барановичи","пенсионер","Партийный","БСДГ","Барановичский-Восточный № 5",""
